offer_id,platform_id,platform_name,offer_title,bank_id,bank_name,card_name,payment_method,category,channels,discount_type,discount_value,max_discount,min_transaction,coupon_code,valid_from,expiry_date,usage_limit,new_user_only,login_required,eligibility_notes,terms_url,source_url,booking_url,source_type,evidence_status,last_verified_at,priority_score,is_active,publish_status
MAK-INDUSIND-62D30F,MAKEMYTRIP,MakeMyTrip,"Plan a trip now with up to 35% OFF* on flights, hotels, holiday packages, buses and tours & attractions.",INDUSIND,IndusInd Bank,IndusInd Bank Credit Card,CREDIT,FLIGHT_DOMESTIC,WEB_AND_APP,PERCENT,15,1800,5000,INDUSEMI,2026-09-01,2026-09-30,1 per card per month,false,false,"What do you get? The customer will get an option of Interest Free on 3/6-months tenure + Instant Discount (as per the details mentioned in the above table) on EMI transactions using IndusInd Bank Credit Cards. How do you get it? To avail the offer, customer must enter E-Coupon as per as mentioned table in the E-Coupon field. The offer is valid only as per the dates mentioned above (both days included) between 0000 Hours and 2359 Hours. The offer is valid on payment made through all IndusInd Bank Credit Cards No-Cost EMI transactions only The offer is valid for bookings made on MakeMyTrip's website, Mobile site, Android & iOS App The offer is valid for 1 booking per card per category per month. The offer is not applicable on payments made through Debit Card, My Wallet (MakeMyTrip Wallet - b",https://www.makemytrip.com/promos/indusind-bank-cc-emi-020626.html?detail_image=no,https://www.makemytrip.com/promos/indusind-bank-cc-emi-020626.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,79,true,READY
MAK-KOTAK-919B61,MAKEMYTRIP,MakeMyTrip,Grab Upto 15% Instant Discount* on Flights and Hotels,KOTAK,Kotak Mahindra Bank,Kotak Mahindra Bank Credit Card,CREDIT,FLIGHT_DOMESTIC,WEB_AND_APP,PERCENT,12,1800,7500,MMTKOTAK,2026-09-01,2027-03-31,1 per card per month,false,false,"WHAT DO YOU GET? Customers will get instant discount as mentioned in the table above on Kotak Bank Credit Cards. HOW DO YOU GET IT? To avail the offer, customer must enter E-Coupon as per aforementioned table in the E-Coupon field. The offer is valid all day starting 1st Sept’26 – 31st March’27 (between 0000 hrs to 2359 hrs) The offer is valid for bookings made on MakeMyTrip website, Mobile site, Android & iOS App. The offer is valid on Kotak Bank Credit cards. The offer is valid for 1 booking per card per category per Month throughout the offer period. WHAT ELSE DO YOU NEED TO KNOW? FLIGHTS For flights, discount will be calculated on the booking amount (excluding convenience fee and any ancillaries purchased e.g.: meals, insurance). The offer is not valid on ""Multi-City Flights"" made thro",https://www.makemytrip.com/promos/kotak-cc-stays-offer-280124.html?detail_image=no,https://www.makemytrip.com/promos/kotak-cc-stays-offer-280124.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,79,true,READY
MAK-ICICI-9DD070,MAKEMYTRIP,MakeMyTrip,"Up to Rs. 25000 off on Flights, Stays, Holidays, Bus, Cabs and Tours & Attractions",ICICI,ICICI Bank,ICICI Bank Credit Card,CREDIT,FLIGHT_DOMESTIC,WEB_AND_APP,PERCENT,12,2000,4000,ICICIEMI,2026-07-01,2026-09-30,1 per card,false,false,"What do you get? The customer will receive discounts as per the details mentioned in the table above. How do you get it? To avail the offer, customer must enter E-Coupon as per aforementioned table in the E-Coupon field. Offer is valid for bookings made all days from 01st July – 30th Sep 2026 between 0000 Hours and 2359 Hours The offer is valid on payment made through ICICI bank Credit Cards EMI (Customer Interest Bearing) The offer is valid for bookings made on MakeMyTrip's website, Mobile site, Android & iOS App The offer is valid for 1 booking per card per category *Exclusions - ICICI Bank Corporate Credit card/s, ICICI Bank Business Debit card/s, ICICI Bank Retail Net Banking user/s, ICICI Bank Prepaid & Gift Card/s, ICICI – MMT Co-branded Credit Cards (Rupay & Mastercard) Any processi",https://www.makemytrip.com/promos/icici-cc-emi-151225.html?detail_image=no,https://www.makemytrip.com/promos/icici-cc-emi-151225.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,79,true,READY
MAK-ONECARD-D4F731,MAKEMYTRIP,MakeMyTrip,Up to 30% Instant Discount* + Interest-free EMI on domestic & international flights.,ONECARD,OneCard,OneCard Credit Card,CREDIT,FLIGHT_INTERNATIONAL,WEB_AND_APP,PERCENT,8,1200,7500,MMTONECARDEMI,2026-09-01,2026-09-30,,false,false,"WHAT DO YOU GET? Interest Free EMI on 3- & 6-Months tenure for Flights + Instant Discount (as per the details mentioned in the above table) on EMI transactions using OneCard Credit cards for EMI tenures of 3, 6, 9 & 12 months. HOW DO YOU GET IT? The offer is valid for bookings made on MakeMyTrip's website, Mobile site, Android & iOS App. Customer needs to pay using OneCard EMI option available on MakeMyTrip. To avail the Instant Discount, customer must enter E-Coupon as per aforementioned table in the E-Coupon field. The offer is valid only once per card per month across international and domestic flights. E.g. if the user availed discount on booking international flight, he/she will not get the discount again on booking another domestic/international flight in the same month and vice vers",https://www.makemytrip.com/promos/onecard-nce-23082022.html?detail_image=no,https://www.makemytrip.com/promos/onecard-nce-23082022.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,79,true,READY
MAK-BOB-FC049E,MAKEMYTRIP,MakeMyTrip,UP to 15% Instant Discount* on Flights and Hotels bookings using,BOB,Bank of Baroda,Bank of Baroda Credit Card,CREDIT,FLIGHT_DOMESTIC,WEB_AND_APP,PERCENT,12,1600,7000,MMTBOBEMI,2026-07-03,2026-09-29,1 per card per month,false,false,"Valid on: every Tuesday & Friday; WHAT DO YOU GET? 3 & 6M Additional Savings on EMI on 3&6- months tenure + Instant Discount (as per the details mentioned in the above table) on EMI transactions (on 3, 6, 9- & 12-months’ duration) using BOBCARD LTD EMI. HOW DO YOU GET IT? To avail the offer, customer must enter E-Coupon Code as per above table in the E-Coupon field. Customer needs to pay using EMI options available on BOBCARD LTDs on MakeMyTrip. The offer is valid from every Tuesday & Friday from 3rd July – 29th September 2026 The offer is applicable on Flights, Hotels and Holidays booked through MakeMyTrip Website, Mobile site, Android & iOS App only The offer is valid for 1 booking per card per category per month WHAT ELSE DO YOU NEED TO KNOW? The offer is valid only on EMI bookings done using BOBCARD LTDs. Processing fe",https://www.makemytrip.com/promos/bob-nce-01012023.html?detail_image=no,https://www.makemytrip.com/promos/bob-nce-01012023.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,79,true,READY
MAK-KOTAK-050ABD,MAKEMYTRIP,MakeMyTrip,"Up to 35% OFF* Instant Discount* on Flights, Hotels and Holidays",KOTAK,Kotak Mahindra Bank,Kotak Mahindra Bank Credit Card,CREDIT,FLIGHT_DOMESTIC,WEB_AND_APP,PERCENT,10,1800,5000,KOTAKEMI,2026-07-01,2026-09-30,1 per card,false,false,"What do you get? The customer will receive discounts as per the details mentioned in the table above. This Offer is made in association with MakeMyTrip India Private Limited (“MakeMyTrip”) to the customers of Kotak Mahindra Bank Limited (“Bank”) holding Kotak Credit Cards (“Customers” or “Cardholders”). How do you get it? To avail the offer, customer must enter E-Coupon as per aforementioned table in the E-Coupon field. The offer is valid only as per the dates mentioned above (both days included) between 0000 Hours and 2359 Hours. The offer is valid on payment made through all Kotak Mahindra Bank Credit Cards No-Cost EMI transactions only The offer is valid for bookings made on MakeMyTrip's website, Mobile site, Android & iOS App The offer is valid for 1 booking per card per category durin",https://www.makemytrip.com/promos/kotak-cc-emi-070225.html?detail_image=no,https://www.makemytrip.com/promos/kotak-cc-emi-070225.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,79,true,READY
MAK-IDFC-4AE4A7,MAKEMYTRIP,MakeMyTrip,Grab up to 30% Instant Discount* + Avail Interest Free EMI*,IDFC,IDFC FIRST Bank,IDFC FIRST Bank Credit Card,CREDIT,FLIGHT_DOMESTIC,WEB_AND_APP,PERCENT,15,2000,5000,MMTIDFCNCEMI,2026-09-01,2026-09-30,1 per card,false,false,"What do you get? The customer will get an option of Interest Free on 3/6-months tenure + Instant Discount (as per the details mentioned in the above table) on EMI transactions using IDFC FIRST Bank Credit Card. How do you get it? To avail the Offer, customer must enter E-Coupon as mentioned in the table above, in the E-Coupon field. Customer needs to pay using EMI option available on IDFC FIRST Bank Credit Cards on MakeMyTrip. The Offer cannot be clubbed with any other deal code running on MakeMyTrip. The Offer is valid from 1st September to 30th September'26 (both days included) between 0000 hours to 23:59 hours. The Offer is valid for bookings made on MakeMyTrip’ s Website, mobile site and mobile app (Android & iOS) only. The Offer is valid for 1 booking per card per category per user th",https://www.makemytrip.com/promos/idfc-nce-07012023.html?detail_image=no,https://www.makemytrip.com/promos/idfc-nce-07012023.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,79,true,READY
MAK-HSBC-F15BFF,MAKEMYTRIP,MakeMyTrip,"Grab up to 35% OFF* on domestic + international flights, stays & holiday packages.",HSBC,HSBC,HSBC Credit Card,CREDIT,FLIGHT_INTERNATIONAL,WEB_AND_APP,PERCENT,12,1800,5000,MMTHSBC,2026-07-02,2026-09-30,1 per card per month,false,false,"Valid on: Every Thursday & Friday; WHAT DO YOU GET? Customers will get instant discount as mentioned in the table above on HSBC Bank Credit Cards. HOW DO YOU GET IT? To avail the offer, customer must enter E-Coupon as per aforementioned table in the E-Coupon field. The Offer is valid on Every Thursday & Friday from 2nd July – 30th Sept’26 (between 0000 hrs to 2359 hrs). The offer is valid for bookings made on MakeMyTrip website, Mobile site, Android & iOS App. The offer is valid on HSBC Bank Credit cards. This offer is not valid on EMI option. The offer is valid for 1 booking per card per category per month per user. WHAT ELSE DO YOU NEED TO KNOW? FLIGHTS For flights, discount will be calculated on the booking amount (excluding convenience fee and any ancillaries purchased e.g.: meals, insurance). The offer is not valid on",https://www.makemytrip.com/promos/hsbc-offers-01012023.html?detail_image=no,https://www.makemytrip.com/promos/hsbc-offers-01012023.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,79,true,READY
MAK-HSBC-DC8A7B,MAKEMYTRIP,MakeMyTrip,"Enjoy Interest-Free EMI + Up to 35% Instant Discount on flights, hotels & holiday packages!",HSBC,HSBC,HSBC Credit Card,CREDIT,FLIGHT_DOMESTIC,WEB_AND_APP,PERCENT,5,5000,2000,MMTHSBCEMI,2026-06-01,2026-09-30,1 per card,false,false,"What do you get? 3 & 6 M Additional Savings on EMI on 3- months and 6-months tenure + Instant Discount (as per the details mentioned in the above table) on EMI transactions (on 3, 6, 9- & 12-months’ duration) using HSBC Credit Card EMI. How do you get it? To avail the offer, customer must enter E-Coupon as per aforementioned table in the E-Coupon field. Customer needs to pay using EMI options available on HSBC Credit Cards on MakeMyTrip. The Offer is valid everyday from 1st June’26 – 30th Sept’26 (between 0000 hrs to 2359 hrs) both days included The offer is valid for bookings made on MakeMyTrip website, Mobile site, Android & iOS App. The offer is valid for 1 booking per card per category throughout the offer period. What Else do You Need to Know? The offer is valid only on EMI bookings d",https://www.makemytrip.com/promos/hsbc-emi-offers-apr22.html?detail_image=no,https://www.makemytrip.com/promos/hsbc-emi-offers-apr22.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,79,true,READY
MAK-CANARA-6BA404,MAKEMYTRIP,MakeMyTrip,"Grab Up to 15% Instant Discount* on flights, hotels, homestays, villas & buses.",CANARA,Canara Bank,Canara Bank Credit Card,CREDIT,FLIGHT_DOMESTIC,WEB_AND_APP,PERCENT,12,1800,5000,MMTCANARAINT,2026-04-22,2026-09-30,1 per card per month,false,false,"Valid on: every Wednesday & Saturday; What do you get? Customers will get instant discount as mentioned in the table above on Canara Bank Credit Cards. How do you get it? To avail the offer, customer must enter E-Coupon as per aforementioned table in the E-Coupon field. The Offer is valid every Wednesday & Saturday starting from 22nd April’26 – 30th Sept’26 (between 0000 hrs to 2359 hrs) The offer is valid for bookings made on MakeMyTrip website, Mobile site, Android & iOS App. The offer is valid on Canara Bank Credit cards. The offer is valid for 1 booking per card per category per Month throughout the offer period. What else do you need to know? Flights For flights, discount will be calculated on the booking amount (excluding convenience fee and any ancillaries purchased e.g.: meals, insurance). The offer is not valid on ""Mu",https://www.makemytrip.com/promos/canara-bank-offers-220723.html?detail_image=no,https://www.makemytrip.com/promos/canara-bank-offers-220723.html?detail_image=no,https://www.makemytrip.com/flights/,SCRAPED,VERIFIED,2026-09-23,79,true,READY
